,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
187,"Can't Get Enough Of Your Love, Babe",64oGqdO1AWbfnFpRnMTMIg,0.748,0.83,5,-6.68,1,0.0652,0.46,0.0154,0.333,0.693,110.164,64oGqdO1AWbfnFpRnMTMIg,spotify:track:64oGqdO1AWbfnFpRnMTMIg,https://api.spotify.com/v1/tracks/64oGqdO1AWbfnFpRnMTMIg,https://api.spotify.com/v1/audio-analysis/64oGqdO1AWbfnFpRnMTMIg,228107,4
188,T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees),2Su70ZWfoQ76gKYtztYtbV,0.578,0.822,10,-7.554,1,0.045,0.0102,0.885,0.1,0.777,114.722,2Su70ZWfoQ76gKYtztYtbV,spotify:track:2Su70ZWfoQ76gKYtztYtbV,https://api.spotify.com/v1/tracks/2Su70ZWfoQ76gKYtztYtbV,https://api.spotify.com/v1/audio-analysis/2Su70ZWfoQ76gKYtztYtbV,264360,4
189,Never Too Much,3VDPbZFsaYoEltZ4arjMq3,0.716,0.623,2,-10.695,1,0.115,0.133,0.0,0.0383,0.768,109.052,3VDPbZFsaYoEltZ4arjMq3,spotify:track:3VDPbZFsaYoEltZ4arjMq3,https://api.spotify.com/v1/tracks/3VDPbZFsaYoEltZ4arjMq3,https://api.spotify.com/v1/audio-analysis/3VDPbZFsaYoEltZ4arjMq3,228907,4
190,Sexual Healing,4HruSQTQR65g2HU9dUy0FS,0.801,0.536,5,-11.98,0,0.0656,0.112,0.000157,0.073,0.72,94.369,4HruSQTQR65g2HU9dUy0FS,spotify:track:4HruSQTQR65g2HU9dUy0FS,https://api.spotify.com/v1/tracks/4HruSQTQR65g2HU9dUy0FS,https://api.spotify.com/v1/audio-analysis/4HruSQTQR65g2HU9dUy0FS,236760,4
191,Disco Lady,7aS2UfWX6qqh7jl5fUpVB6,0.716,0.728,2,-9.682,1,0.0572,0.0515,0.0,0.0586,0.858,103.877,7aS2UfWX6qqh7jl5fUpVB6,spotify:track:7aS2UfWX6qqh7jl5fUpVB6,https://api.spotify.com/v1/tracks/7aS2UfWX6qqh7jl5fUpVB6,https://api.spotify.com/v1/audio-analysis/7aS2UfWX6qqh7jl5fUpVB6,262800,4
192,Sadeness - Pt. 1 / Radio Edit,3n2dV8PXv1bs8KP31UhbVj,0.607,0.626,7,-10.168,1,0.0358,0.162,0.0677,0.114,0.54,95.701,3n2dV8PXv1bs8KP31UhbVj,spotify:track:3n2dV8PXv1bs8KP31UhbVj,https://api.spotify.com/v1/tracks/3n2dV8PXv1bs8KP31UhbVj,https://api.spotify.com/v1/audio-analysis/3n2dV8PXv1bs8KP31UhbVj,260400,4
193,Mea Culpa - Part II / Orthodox Mix,2SX4uYkohuUMZsak6b8vlA,0.624,0.747,4,-8.824,0,0.0556,0.0364,0.209,0.174,0.376,99.003,2SX4uYkohuUMZsak6b8vlA,spotify:track:2SX4uYkohuUMZsak6b8vlA,https://api.spotify.com/v1/tracks/2SX4uYkohuUMZsak6b8vlA,https://api.spotify.com/v1/audio-analysis/2SX4uYkohuUMZsak6b8vlA,241373,4
194,Principles Of Lust - Radio Edit,3UKgVcvauozaLi5DabAlBm,0.585,0.673,10,-9.284,1,0.0509,0.208,0.852,0.272,0.696,190.134,3UKgVcvauozaLi5DabAlBm,spotify:track:3UKgVcvauozaLi5DabAlBm,https://api.spotify.com/v1/tracks/3UKgVcvauozaLi5DabAlBm,https://api.spotify.com/v1/audio-analysis/3UKgVcvauozaLi5DabAlBm,206867,4
195,The Rivers Of Belief - Radio Edit,5V418gaWn4pX0Z0IcS7JVm,0.568,0.594,1,-9.325,1,0.0292,0.0379,0.371,0.12,0.5,94.984,5V418gaWn4pX0Z0IcS7JVm,spotify:track:5V418gaWn4pX0Z0IcS7JVm,https://api.spotify.com/v1/tracks/5V418gaWn4pX0Z0IcS7JVm,https://api.spotify.com/v1/audio-analysis/5V418gaWn4pX0Z0IcS7JVm,263760,4
196,Return To Innocence - Radio Edit,5k4CkBwvnK64XeEBCCOjxe,0.38,0.699,10,-7.574,1,0.0408,0.0795,0.0,0.288,0.425,87.989,5k4CkBwvnK64XeEBCCOjxe,spotify:track:5k4CkBwvnK64XeEBCCOjxe,https://api.spotify.com/v1/tracks/5k4CkBwvnK64XeEBCCOjxe,https://api.spotify.com/v1/audio-analysis/5k4CkBwvnK64XeEBCCOjxe,251427,4
